"URL","Page Family","Numerator","Denominator","Simplified Fraction","Decimal","Percent","Priority","Indexable","Canonical","Related Page"
"/what-is-equivalent-to-3-5-fraction","Equivalent Fractions","3","5","3/5","0.6","60%","A","true","/what-is-equivalent-to-3-5-fraction","/3-5-as-a-percent-and-decimal"
"/3-5-as-a-percent-and-decimal","Percent and Decimal","3","5","3/5","0.6","60%","A","true","/3-5-as-a-percent-and-decimal","/what-is-equivalent-to-3-5-fraction"
"/what-is-equivalent-to-4-5-fraction","Equivalent Fractions","4","5","4/5","0.8","80%","A","true","/what-is-equivalent-to-4-5-fraction","/4-5-as-a-percent-and-decimal"
"/4-5-as-a-percent-and-decimal","Percent and Decimal","4","5","4/5","0.8","80%","A","true","/4-5-as-a-percent-and-decimal","/what-is-equivalent-to-4-5-fraction"
"/what-is-equivalent-to-6-5-fraction","Equivalent Fractions","6","5","6/5","1.2","120%","A","true","/what-is-equivalent-to-6-5-fraction","/6-5-as-a-percent-and-decimal"
"/6-5-as-a-percent-and-decimal","Percent and Decimal","6","5","6/5","1.2","120%","A","true","/6-5-as-a-percent-and-decimal","/what-is-equivalent-to-6-5-fraction"
"/what-is-equivalent-to-7-5-fraction","Equivalent Fractions","7","5","7/5","1.4","140%","A","true","/what-is-equivalent-to-7-5-fraction","/7-5-as-a-percent-and-decimal"
"/7-5-as-a-percent-and-decimal","Percent and Decimal","7","5","7/5","1.4","140%","A","true","/7-5-as-a-percent-and-decimal","/what-is-equivalent-to-7-5-fraction"
"/what-is-equivalent-to-8-5-fraction","Equivalent Fractions","8","5","8/5","1.6","160%","A","true","/what-is-equivalent-to-8-5-fraction","/8-5-as-a-percent-and-decimal"
"/8-5-as-a-percent-and-decimal","Percent and Decimal","8","5","8/5","1.6","160%","A","true","/8-5-as-a-percent-and-decimal","/what-is-equivalent-to-8-5-fraction"
"/what-is-equivalent-to-9-5-fraction","Equivalent Fractions","9","5","9/5","1.8","180%","A","true","/what-is-equivalent-to-9-5-fraction","/9-5-as-a-percent-and-decimal"
"/9-5-as-a-percent-and-decimal","Percent and Decimal","9","5","9/5","1.8","180%","A","true","/9-5-as-a-percent-and-decimal","/what-is-equivalent-to-9-5-fraction"
"/what-is-equivalent-to-1-6-fraction","Equivalent Fractions","1","6","1/6","0.166666666667","16.6666666667%","A","true","/what-is-equivalent-to-1-6-fraction","/1-6-as-a-percent-and-decimal"
"/1-6-as-a-percent-and-decimal","Percent and Decimal","1","6","1/6","0.166666666667","16.6666666667%","A","true","/1-6-as-a-percent-and-decimal","/what-is-equivalent-to-1-6-fraction"
"/what-is-equivalent-to-2-6-fraction","Equivalent Fractions","2","6","1/3","0.333333333333","33.3333333333%","B","true","/what-is-equivalent-to-2-6-fraction","/2-6-as-a-percent-and-decimal"
"/2-6-as-a-percent-and-decimal","Percent and Decimal","2","6","1/3","0.333333333333","33.3333333333%","B","true","/2-6-as-a-percent-and-decimal","/what-is-equivalent-to-2-6-fraction"
"/what-is-equivalent-to-3-6-fraction","Equivalent Fractions","3","6","1/2","0.5","50%","A","true","/what-is-equivalent-to-3-6-fraction","/3-6-as-a-percent-and-decimal"
"/3-6-as-a-percent-and-decimal","Percent and Decimal","3","6","1/2","0.5","50%","A","true","/3-6-as-a-percent-and-decimal","/what-is-equivalent-to-3-6-fraction"
"/what-is-equivalent-to-4-6-fraction","Equivalent Fractions","4","6","2/3","0.666666666667","66.6666666667%","B","true","/what-is-equivalent-to-4-6-fraction","/4-6-as-a-percent-and-decimal"
"/4-6-as-a-percent-and-decimal","Percent and Decimal","4","6","2/3","0.666666666667","66.6666666667%","B","true","/4-6-as-a-percent-and-decimal","/what-is-equivalent-to-4-6-fraction"
"/what-is-equivalent-to-5-6-fraction","Equivalent Fractions","5","6","5/6","0.833333333333","83.3333333333%","B","true","/what-is-equivalent-to-5-6-fraction","/5-6-as-a-percent-and-decimal"
"/5-6-as-a-percent-and-decimal","Percent and Decimal","5","6","5/6","0.833333333333","83.3333333333%","B","true","/5-6-as-a-percent-and-decimal","/what-is-equivalent-to-5-6-fraction"
"/what-is-equivalent-to-7-6-fraction","Equivalent Fractions","7","6","7/6","1.16666666667","116.666666667%","C","true","/what-is-equivalent-to-7-6-fraction","/7-6-as-a-percent-and-decimal"
"/7-6-as-a-percent-and-decimal","Percent and Decimal","7","6","7/6","1.16666666667","116.666666667%","C","true","/7-6-as-a-percent-and-decimal","/what-is-equivalent-to-7-6-fraction"
"/what-is-equivalent-to-8-6-fraction","Equivalent Fractions","8","6","4/3","1.33333333333","133.333333333%","B","true","/what-is-equivalent-to-8-6-fraction","/8-6-as-a-percent-and-decimal"
"/8-6-as-a-percent-and-decimal","Percent and Decimal","8","6","4/3","1.33333333333","133.333333333%","B","true","/8-6-as-a-percent-and-decimal","/what-is-equivalent-to-8-6-fraction"
"/what-is-equivalent-to-9-6-fraction","Equivalent Fractions","9","6","3/2","1.5","150%","A","true","/what-is-equivalent-to-9-6-fraction","/9-6-as-a-percent-and-decimal"
"/9-6-as-a-percent-and-decimal","Percent and Decimal","9","6","3/2","1.5","150%","A","true","/9-6-as-a-percent-and-decimal","/what-is-equivalent-to-9-6-fraction"
"/what-is-equivalent-to-10-6-fraction","Equivalent Fractions","10","6","5/3","1.66666666667","166.666666667%","B","true","/what-is-equivalent-to-10-6-fraction","/10-6-as-a-percent-and-decimal"
"/10-6-as-a-percent-and-decimal","Percent and Decimal","10","6","5/3","1.66666666667","166.666666667%","B","true","/10-6-as-a-percent-and-decimal","/what-is-equivalent-to-10-6-fraction"
"/what-is-equivalent-to-11-6-fraction","Equivalent Fractions","11","6","11/6","1.83333333333","183.333333333%","C","true","/what-is-equivalent-to-11-6-fraction","/11-6-as-a-percent-and-decimal"
"/11-6-as-a-percent-and-decimal","Percent and Decimal","11","6","11/6","1.83333333333","183.333333333%","C","true","/11-6-as-a-percent-and-decimal","/what-is-equivalent-to-11-6-fraction"
"/what-is-equivalent-to-1-7-fraction","Equivalent Fractions","1","7","1/7","0.142857142857","14.2857142857%","B","true","/what-is-equivalent-to-1-7-fraction","/1-7-as-a-percent-and-decimal"
"/1-7-as-a-percent-and-decimal","Percent and Decimal","1","7","1/7","0.142857142857","14.2857142857%","B","true","/1-7-as-a-percent-and-decimal","/what-is-equivalent-to-1-7-fraction"
"/what-is-equivalent-to-2-7-fraction","Equivalent Fractions","2","7","2/7","0.285714285714","28.5714285714%","C","true","/what-is-equivalent-to-2-7-fraction","/2-7-as-a-percent-and-decimal"
"/2-7-as-a-percent-and-decimal","Percent and Decimal","2","7","2/7","0.285714285714","28.5714285714%","C","true","/2-7-as-a-percent-and-decimal","/what-is-equivalent-to-2-7-fraction"
"/what-is-equivalent-to-3-7-fraction","Equivalent Fractions","3","7","3/7","0.428571428571","42.8571428571%","C","true","/what-is-equivalent-to-3-7-fraction","/3-7-as-a-percent-and-decimal"
"/3-7-as-a-percent-and-decimal","Percent and Decimal","3","7","3/7","0.428571428571","42.8571428571%","C","true","/3-7-as-a-percent-and-decimal","/what-is-equivalent-to-3-7-fraction"
"/what-is-equivalent-to-4-7-fraction","Equivalent Fractions","4","7","4/7","0.571428571429","57.1428571429%","C","true","/what-is-equivalent-to-4-7-fraction","/4-7-as-a-percent-and-decimal"
"/4-7-as-a-percent-and-decimal","Percent and Decimal","4","7","4/7","0.571428571429","57.1428571429%","C","true","/4-7-as-a-percent-and-decimal","/what-is-equivalent-to-4-7-fraction"
"/what-is-equivalent-to-5-7-fraction","Equivalent Fractions","5","7","5/7","0.714285714286","71.4285714286%","C","true","/what-is-equivalent-to-5-7-fraction","/5-7-as-a-percent-and-decimal"
"/5-7-as-a-percent-and-decimal","Percent and Decimal","5","7","5/7","0.714285714286","71.4285714286%","C","true","/5-7-as-a-percent-and-decimal","/what-is-equivalent-to-5-7-fraction"
"/what-is-equivalent-to-6-7-fraction","Equivalent Fractions","6","7","6/7","0.857142857143","85.7142857143%","C","true","/what-is-equivalent-to-6-7-fraction","/6-7-as-a-percent-and-decimal"
"/6-7-as-a-percent-and-decimal","Percent and Decimal","6","7","6/7","0.857142857143","85.7142857143%","C","true","/6-7-as-a-percent-and-decimal","/what-is-equivalent-to-6-7-fraction"
"/what-is-equivalent-to-8-7-fraction","Equivalent Fractions","8","7","8/7","1.14285714286","114.285714286%","C","true","/what-is-equivalent-to-8-7-fraction","/8-7-as-a-percent-and-decimal"
"/8-7-as-a-percent-and-decimal","Percent and Decimal","8","7","8/7","1.14285714286","114.285714286%","C","true","/8-7-as-a-percent-and-decimal","/what-is-equivalent-to-8-7-fraction"
"/what-is-equivalent-to-9-7-fraction","Equivalent Fractions","9","7","9/7","1.28571428571","128.571428571%","C","true","/what-is-equivalent-to-9-7-fraction","/9-7-as-a-percent-and-decimal"
"/9-7-as-a-percent-and-decimal","Percent and Decimal","9","7","9/7","1.28571428571","128.571428571%","C","true","/9-7-as-a-percent-and-decimal","/what-is-equivalent-to-9-7-fraction"
"/what-is-equivalent-to-10-7-fraction","Equivalent Fractions","10","7","10/7","1.42857142857","142.857142857%","C","true","/what-is-equivalent-to-10-7-fraction","/10-7-as-a-percent-and-decimal"
"/10-7-as-a-percent-and-decimal","Percent and Decimal","10","7","10/7","1.42857142857","142.857142857%","C","true","/10-7-as-a-percent-and-decimal","/what-is-equivalent-to-10-7-fraction"
"/what-is-equivalent-to-11-7-fraction","Equivalent Fractions","11","7","11/7","1.57142857143","157.142857143%","C","true","/what-is-equivalent-to-11-7-fraction","/11-7-as-a-percent-and-decimal"
"/11-7-as-a-percent-and-decimal","Percent and Decimal","11","7","11/7","1.57142857143","157.142857143%","C","true","/11-7-as-a-percent-and-decimal","/what-is-equivalent-to-11-7-fraction"
"/what-is-equivalent-to-12-7-fraction","Equivalent Fractions","12","7","12/7","1.71428571429","171.428571429%","C","true","/what-is-equivalent-to-12-7-fraction","/12-7-as-a-percent-and-decimal"
"/12-7-as-a-percent-and-decimal","Percent and Decimal","12","7","12/7","1.71428571429","171.428571429%","C","true","/12-7-as-a-percent-and-decimal","/what-is-equivalent-to-12-7-fraction"
"/what-is-equivalent-to-13-7-fraction","Equivalent Fractions","13","7","13/7","1.85714285714","185.714285714%","C","true","/what-is-equivalent-to-13-7-fraction","/13-7-as-a-percent-and-decimal"
"/13-7-as-a-percent-and-decimal","Percent and Decimal","13","7","13/7","1.85714285714","185.714285714%","C","true","/13-7-as-a-percent-and-decimal","/what-is-equivalent-to-13-7-fraction"
"/what-is-equivalent-to-1-8-fraction","Equivalent Fractions","1","8","1/8","0.125","12.5%","A","true","/what-is-equivalent-to-1-8-fraction","/1-8-as-a-percent-and-decimal"
"/1-8-as-a-percent-and-decimal","Percent and Decimal","1","8","1/8","0.125","12.5%","A","true","/1-8-as-a-percent-and-decimal","/what-is-equivalent-to-1-8-fraction"
"/what-is-equivalent-to-2-8-fraction","Equivalent Fractions","2","8","1/4","0.25","25%","A","true","/what-is-equivalent-to-2-8-fraction","/2-8-as-a-percent-and-decimal"
"/2-8-as-a-percent-and-decimal","Percent and Decimal","2","8","1/4","0.25","25%","A","true","/2-8-as-a-percent-and-decimal","/what-is-equivalent-to-2-8-fraction"
"/what-is-equivalent-to-3-8-fraction","Equivalent Fractions","3","8","3/8","0.375","37.5%","A","true","/what-is-equivalent-to-3-8-fraction","/3-8-as-a-percent-and-decimal"
"/3-8-as-a-percent-and-decimal","Percent and Decimal","3","8","3/8","0.375","37.5%","A","true","/3-8-as-a-percent-and-decimal","/what-is-equivalent-to-3-8-fraction"
"/what-is-equivalent-to-5-8-fraction","Equivalent Fractions","5","8","5/8","0.625","62.5%","A","true","/what-is-equivalent-to-5-8-fraction","/5-8-as-a-percent-and-decimal"
"/5-8-as-a-percent-and-decimal","Percent and Decimal","5","8","5/8","0.625","62.5%","A","true","/5-8-as-a-percent-and-decimal","/what-is-equivalent-to-5-8-fraction"
"/what-is-equivalent-to-6-8-fraction","Equivalent Fractions","6","8","3/4","0.75","75%","A","true","/what-is-equivalent-to-6-8-fraction","/6-8-as-a-percent-and-decimal"
"/6-8-as-a-percent-and-decimal","Percent and Decimal","6","8","3/4","0.75","75%","A","true","/6-8-as-a-percent-and-decimal","/what-is-equivalent-to-6-8-fraction"
"/what-is-equivalent-to-7-8-fraction","Equivalent Fractions","7","8","7/8","0.875","87.5%","A","true","/what-is-equivalent-to-7-8-fraction","/7-8-as-a-percent-and-decimal"
"/7-8-as-a-percent-and-decimal","Percent and Decimal","7","8","7/8","0.875","87.5%","A","true","/7-8-as-a-percent-and-decimal","/what-is-equivalent-to-7-8-fraction"
"/what-is-equivalent-to-9-8-fraction","Equivalent Fractions","9","8","9/8","1.125","112.5%","A","true","/what-is-equivalent-to-9-8-fraction","/9-8-as-a-percent-and-decimal"
"/9-8-as-a-percent-and-decimal","Percent and Decimal","9","8","9/8","1.125","112.5%","A","true","/9-8-as-a-percent-and-decimal","/what-is-equivalent-to-9-8-fraction"
"/what-is-equivalent-to-10-8-fraction","Equivalent Fractions","10","8","5/4","1.25","125%","A","true","/what-is-equivalent-to-10-8-fraction","/10-8-as-a-percent-and-decimal"
"/10-8-as-a-percent-and-decimal","Percent and Decimal","10","8","5/4","1.25","125%","A","true","/10-8-as-a-percent-and-decimal","/what-is-equivalent-to-10-8-fraction"
"/what-is-equivalent-to-11-8-fraction","Equivalent Fractions","11","8","11/8","1.375","137.5%","A","true","/what-is-equivalent-to-11-8-fraction","/11-8-as-a-percent-and-decimal"
"/11-8-as-a-percent-and-decimal","Percent and Decimal","11","8","11/8","1.375","137.5%","A","true","/11-8-as-a-percent-and-decimal","/what-is-equivalent-to-11-8-fraction"
"/what-is-equivalent-to-12-8-fraction","Equivalent Fractions","12","8","3/2","1.5","150%","A","true","/what-is-equivalent-to-12-8-fraction","/12-8-as-a-percent-and-decimal"
"/12-8-as-a-percent-and-decimal","Percent and Decimal","12","8","3/2","1.5","150%","A","true","/12-8-as-a-percent-and-decimal","/what-is-equivalent-to-12-8-fraction"
"/what-is-equivalent-to-13-8-fraction","Equivalent Fractions","13","8","13/8","1.625","162.5%","B","true","/what-is-equivalent-to-13-8-fraction","/13-8-as-a-percent-and-decimal"
"/13-8-as-a-percent-and-decimal","Percent and Decimal","13","8","13/8","1.625","162.5%","B","true","/13-8-as-a-percent-and-decimal","/what-is-equivalent-to-13-8-fraction"
"/what-is-equivalent-to-14-8-fraction","Equivalent Fractions","14","8","7/4","1.75","175%","A","true","/what-is-equivalent-to-14-8-fraction","/14-8-as-a-percent-and-decimal"
"/14-8-as-a-percent-and-decimal","Percent and Decimal","14","8","7/4","1.75","175%","A","true","/14-8-as-a-percent-and-decimal","/what-is-equivalent-to-14-8-fraction"
"/what-is-equivalent-to-15-8-fraction","Equivalent Fractions","15","8","15/8","1.875","187.5%","B","true","/what-is-equivalent-to-15-8-fraction","/15-8-as-a-percent-and-decimal"
"/15-8-as-a-percent-and-decimal","Percent and Decimal","15","8","15/8","1.875","187.5%","B","true","/15-8-as-a-percent-and-decimal","/what-is-equivalent-to-15-8-fraction"
"/what-is-equivalent-to-1-9-fraction","Equivalent Fractions","1","9","1/9","0.111111111111","11.1111111111%","B","true","/what-is-equivalent-to-1-9-fraction","/1-9-as-a-percent-and-decimal"
"/1-9-as-a-percent-and-decimal","Percent and Decimal","1","9","1/9","0.111111111111","11.1111111111%","B","true","/1-9-as-a-percent-and-decimal","/what-is-equivalent-to-1-9-fraction"
"/what-is-equivalent-to-2-9-fraction","Equivalent Fractions","2","9","2/9","0.222222222222","22.2222222222%","C","true","/what-is-equivalent-to-2-9-fraction","/2-9-as-a-percent-and-decimal"
"/2-9-as-a-percent-and-decimal","Percent and Decimal","2","9","2/9","0.222222222222","22.2222222222%","C","true","/2-9-as-a-percent-and-decimal","/what-is-equivalent-to-2-9-fraction"
"/what-is-equivalent-to-4-9-fraction","Equivalent Fractions","4","9","4/9","0.444444444444","44.4444444444%","C","true","/what-is-equivalent-to-4-9-fraction","/4-9-as-a-percent-and-decimal"
"/4-9-as-a-percent-and-decimal","Percent and Decimal","4","9","4/9","0.444444444444","44.4444444444%","C","true","/4-9-as-a-percent-and-decimal","/what-is-equivalent-to-4-9-fraction"
"/what-is-equivalent-to-5-9-fraction","Equivalent Fractions","5","9","5/9","0.555555555556","55.5555555556%","C","true","/what-is-equivalent-to-5-9-fraction","/5-9-as-a-percent-and-decimal"
"/5-9-as-a-percent-and-decimal","Percent and Decimal","5","9","5/9","0.555555555556","55.5555555556%","C","true","/5-9-as-a-percent-and-decimal","/what-is-equivalent-to-5-9-fraction"
"/what-is-equivalent-to-7-9-fraction","Equivalent Fractions","7","9","7/9","0.777777777778","77.7777777778%","C","true","/what-is-equivalent-to-7-9-fraction","/7-9-as-a-percent-and-decimal"
"/7-9-as-a-percent-and-decimal","Percent and Decimal","7","9","7/9","0.777777777778","77.7777777778%","C","true","/7-9-as-a-percent-and-decimal","/what-is-equivalent-to-7-9-fraction"
"/what-is-equivalent-to-8-9-fraction","Equivalent Fractions","8","9","8/9","0.888888888889","88.8888888889%","C","true","/what-is-equivalent-to-8-9-fraction","/8-9-as-a-percent-and-decimal"
"/8-9-as-a-percent-and-decimal","Percent and Decimal","8","9","8/9","0.888888888889","88.8888888889%","C","true","/8-9-as-a-percent-and-decimal","/what-is-equivalent-to-8-9-fraction"
"/what-is-equivalent-to-10-9-fraction","Equivalent Fractions","10","9","10/9","1.11111111111","111.111111111%","C","true","/what-is-equivalent-to-10-9-fraction","/10-9-as-a-percent-and-decimal"
"/10-9-as-a-percent-and-decimal","Percent and Decimal","10","9","10/9","1.11111111111","111.111111111%","C","true","/10-9-as-a-percent-and-decimal","/what-is-equivalent-to-10-9-fraction"
"/what-is-equivalent-to-11-9-fraction","Equivalent Fractions","11","9","11/9","1.22222222222","122.222222222%","C","true","/what-is-equivalent-to-11-9-fraction","/11-9-as-a-percent-and-decimal"
"/11-9-as-a-percent-and-decimal","Percent and Decimal","11","9","11/9","1.22222222222","122.222222222%","C","true","/11-9-as-a-percent-and-decimal","/what-is-equivalent-to-11-9-fraction"
"/what-is-equivalent-to-13-9-fraction","Equivalent Fractions","13","9","13/9","1.44444444444","144.444444444%","C","true","/what-is-equivalent-to-13-9-fraction","/13-9-as-a-percent-and-decimal"
"/13-9-as-a-percent-and-decimal","Percent and Decimal","13","9","13/9","1.44444444444","144.444444444%","C","true","/13-9-as-a-percent-and-decimal","/what-is-equivalent-to-13-9-fraction"
"/what-is-equivalent-to-14-9-fraction","Equivalent Fractions","14","9","14/9","1.55555555556","155.555555556%","C","true","/what-is-equivalent-to-14-9-fraction","/14-9-as-a-percent-and-decimal"
"/14-9-as-a-percent-and-decimal","Percent and Decimal","14","9","14/9","1.55555555556","155.555555556%","C","true","/14-9-as-a-percent-and-decimal","/what-is-equivalent-to-14-9-fraction"
"/what-is-equivalent-to-16-9-fraction","Equivalent Fractions","16","9","16/9","1.77777777778","177.777777778%","C","true","/what-is-equivalent-to-16-9-fraction","/16-9-as-a-percent-and-decimal"
"/16-9-as-a-percent-and-decimal","Percent and Decimal","16","9","16/9","1.77777777778","177.777777778%","C","true","/16-9-as-a-percent-and-decimal","/what-is-equivalent-to-16-9-fraction"
"/what-is-equivalent-to-17-9-fraction","Equivalent Fractions","17","9","17/9","1.88888888889","188.888888889%","C","true","/what-is-equivalent-to-17-9-fraction","/17-9-as-a-percent-and-decimal"
"/17-9-as-a-percent-and-decimal","Percent and Decimal","17","9","17/9","1.88888888889","188.888888889%","C","true","/17-9-as-a-percent-and-decimal","/what-is-equivalent-to-17-9-fraction"
"/what-is-equivalent-to-1-10-fraction","Equivalent Fractions","1","10","1/10","0.1","10%","A","true","/what-is-equivalent-to-1-10-fraction","/1-10-as-a-percent-and-decimal"
"/1-10-as-a-percent-and-decimal","Percent and Decimal","1","10","1/10","0.1","10%","A","true","/1-10-as-a-percent-and-decimal","/what-is-equivalent-to-1-10-fraction"
"/what-is-equivalent-to-2-10-fraction","Equivalent Fractions","2","10","1/5","0.2","20%","A","true","/what-is-equivalent-to-2-10-fraction","/2-10-as-a-percent-and-decimal"
"/2-10-as-a-percent-and-decimal","Percent and Decimal","2","10","1/5","0.2","20%","A","true","/2-10-as-a-percent-and-decimal","/what-is-equivalent-to-2-10-fraction"
"/what-is-equivalent-to-3-10-fraction","Equivalent Fractions","3","10","3/10","0.3","30%","A","true","/what-is-equivalent-to-3-10-fraction","/3-10-as-a-percent-and-decimal"
"/3-10-as-a-percent-and-decimal","Percent and Decimal","3","10","3/10","0.3","30%","A","true","/3-10-as-a-percent-and-decimal","/what-is-equivalent-to-3-10-fraction"
"/what-is-equivalent-to-4-10-fraction","Equivalent Fractions","4","10","2/5","0.4","40%","A","true","/what-is-equivalent-to-4-10-fraction","/4-10-as-a-percent-and-decimal"
"/4-10-as-a-percent-and-decimal","Percent and Decimal","4","10","2/5","0.4","40%","A","true","/4-10-as-a-percent-and-decimal","/what-is-equivalent-to-4-10-fraction"
"/what-is-equivalent-to-6-10-fraction","Equivalent Fractions","6","10","3/5","0.6","60%","A","true","/what-is-equivalent-to-6-10-fraction","/6-10-as-a-percent-and-decimal"
"/6-10-as-a-percent-and-decimal","Percent and Decimal","6","10","3/5","0.6","60%","A","true","/6-10-as-a-percent-and-decimal","/what-is-equivalent-to-6-10-fraction"
"/what-is-equivalent-to-7-10-fraction","Equivalent Fractions","7","10","7/10","0.7","70%","A","true","/what-is-equivalent-to-7-10-fraction","/7-10-as-a-percent-and-decimal"
"/7-10-as-a-percent-and-decimal","Percent and Decimal","7","10","7/10","0.7","70%","A","true","/7-10-as-a-percent-and-decimal","/what-is-equivalent-to-7-10-fraction"
"/what-is-equivalent-to-8-10-fraction","Equivalent Fractions","8","10","4/5","0.8","80%","A","true","/what-is-equivalent-to-8-10-fraction","/8-10-as-a-percent-and-decimal"
"/8-10-as-a-percent-and-decimal","Percent and Decimal","8","10","4/5","0.8","80%","A","true","/8-10-as-a-percent-and-decimal","/what-is-equivalent-to-8-10-fraction"
"/what-is-equivalent-to-9-10-fraction","Equivalent Fractions","9","10","9/10","0.9","90%","A","true","/what-is-equivalent-to-9-10-fraction","/9-10-as-a-percent-and-decimal"
"/9-10-as-a-percent-and-decimal","Percent and Decimal","9","10","9/10","0.9","90%","A","true","/9-10-as-a-percent-and-decimal","/what-is-equivalent-to-9-10-fraction"
"/what-is-equivalent-to-11-10-fraction","Equivalent Fractions","11","10","11/10","1.1","110%","B","true","/what-is-equivalent-to-11-10-fraction","/11-10-as-a-percent-and-decimal"
"/11-10-as-a-percent-and-decimal","Percent and Decimal","11","10","11/10","1.1","110%","B","true","/11-10-as-a-percent-and-decimal","/what-is-equivalent-to-11-10-fraction"
